pgmid,vehicle_count,pepkspeed,timestamp,location,created_at
PMG00339,3,42.23,08:05:02.243,"32.8945,-96.57679",2025-10-27T08:05:02.258601Z
PMG00339,4,36.31,08:05:03.128,"32.8945,-96.57679",2025-10-27T08:05:03.128711Z
PMG00339,1,44.37,08:05:03.855,"32.8945,-96.57679",2025-10-27T08:05:03.856082Z
PMG09404,4,48.12,08:05:04.623,"32.8945,-96.57679",2025-10-27T08:05:04.624277Z
PMG09404,5,35.79,08:05:05.338,"32.8945,-96.57679",2025-10-27T08:05:05.339230Z
PMG09404,4,40.06,08:05:06.046,"32.8945,-96.57679",2025-10-27T08:05:06.046642Z
PMG09404,5,38.65,08:05:06.944,"32.8945,-96.57679",2025-10-27T08:05:06.945197Z
PMG00733,3,42.14,08:05:07.646,"32.8945,-96.57679",2025-10-27T08:05:07.646640Z
PMG00733,3,44.04,08:05:08.351,"32.8945,-96.57679",2025-10-27T08:05:08.351741Z
PMG00733,4,40.16,08:05:09.078,"32.8945,-96.57679",2025-10-27T08:05:09.079632Z
PMG00733,1,39.19,08:05:09.795,"32.8945,-96.57679",2025-10-27T08:05:09.795561Z
PMG00733,4,35.55,08:05:10.522,"32.8945,-96.57679",2025-10-27T08:05:10.523047Z
PMG02982,2,46.37,08:05:11.227,"32.8945,-96.57679",2025-10-27T08:05:11.227736Z
PMG02982,2,40.86,08:05:11.971,"32.8945,-96.57679",2025-10-27T08:05:11.972094Z
PMG02982,3,42.52,08:05:12.685,"32.8945,-96.57679",2025-10-27T08:05:12.686250Z
PMG02982,2,46.45,08:05:13.386,"32.8945,-96.57679",2025-10-27T08:05:13.387824Z
PMG02982,5,42.6,08:05:14.107,"32.8945,-96.57679",2025-10-27T08:05:14.108222Z
PMG06249,5,37.96,08:05:14.847,"32.8945,-96.57679",2025-10-27T08:05:14.847568Z
PMG06249,4,52.0,08:05:15.572,"32.8945,-96.57679",2025-10-27T08:05:15.572677Z
PMG06249,3,33.09,08:05:16.286,"32.8945,-96.57679",2025-10-27T08:05:16.287991Z
PMG06249,1,46.33,08:05:17.050,"32.8945,-96.57679",2025-10-27T08:05:17.050860Z
PMG09458,5,39.1,08:05:17.761,"32.8945,-96.57679",2025-10-27T08:05:17.762256Z
PMG09458,4,50.48,08:05:18.478,"32.8945,-96.57679",2025-10-27T08:05:18.479994Z
PMG04648,5,38.95,08:05:19.193,"32.8945,-96.57679",2025-10-27T08:05:19.193890Z
PMG04648,1,33.56,08:05:19.919,"32.8945,-96.57679",2025-10-27T08:05:19.920009Z
PMG04648,1,38.84,08:05:20.629,"32.8945,-96.57679",2025-10-27T08:05:20.630182Z
